layer size,mse_train,mse_test,bias,variance
10,0.026189830233273325,0.025387162721276047,0.014483657849036302,0.01594093213190813
20,0.02581265670827264,0.025104132214268403,0.014627187704628022,0.01593215241185457
30,0.024775405383831176,0.02416162181741353,0.01454052929394294,0.014311700856159317
40,0.025278526446220483,0.02443304336290099,0.014408924816565118,0.015064773203743468
50,0.026292423287267334,0.025625889144151107,0.014506265525993923,0.01592190281655637
60,0.025667687705455588,0.024857102308327664,0.014360706111915044,0.01534954198534745
70,0.026215950833941723,0.025359172846896705,0.01355801692202705,0.018549372340412443
80,0.026559748093144552,0.025733270928415167,0.014363857306824055,0.01615439906875374
90,0.026039962408489048,0.025144601679962547,0.014215507615404164,0.016065937471585304
