layer size,mse,bias,variance
10,0.026036317789986736,0.015028510847610805,0.015516732515104239
20,0.02473635524342913,0.014387268948327632,0.016060939384867506
30,0.02470228849211753,0.014477560612376768,0.015391384350189243
40,0.02325483284710195,0.01374637880523407,0.01677343475163725
50,0.026021826012111785,0.015411245239860937,0.014694361371320212
60,0.025398117185260347,0.014142719850506929,0.017189384568734378
70,0.024967735431892447,0.014722346862859082,0.015292601569068335
80,0.023656254712022304,0.014204305921355222,0.015297399717460391
90,0.024995360432574484,0.014304356898875126,0.01620819443983178
